Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8
Hepatitis D,altered_sensorium,history_of_alcohol_consumption,dizziness,headache,stiff_neck,family_history,palpitations,redness_of_eyes
Hepatitis C,congestion,swollen_legs,receiving_unsterile_injections,yellowing_of_eyes,silver_like_dusting,,,
Hepatitis D,palpitations,redness_of_eyes,dizziness,headache,stiff_neck,family_history,history_of_alcohol_consumption,altered_sensorium
Malaria,belly_pain,abnormal_menstruation,mild_fever,cold_hands_and_feets,receiving_unsterile_injections,,,
Cervical spondylosis,pus_filled_pimples,extra_marital_contacts,cold_hands_and_feets,swelling_joints,polyuria,congestion,,
Diabetes,pain_in_anal_region,drying_and_tingling_lips,lethargy,pain_during_bowel_movements,,,,
Psoriasis,muscle_pain,neck_pain,mood_swings,swollen_extremeties,passage_of_gases,,,
Psoriasis,passage_of_gases,mood_swings,swollen_extremeties,muscle_pain,neck_pain,,,
Hypothyroidism,cough,blister,continuous_sneezing,yellowing_of_eyes,congestion,rusty_sputum,inflammatory_nails,bloody_stool
Chronic cholestasis,bladder_discomfort,mild_fever,weakness_in_limbs,prominent_veins_on_calf,receiving_blood_transfusion,skin_rash,brittle_nails,receiving_unsterile_injections
Heart attack,pain_behind_the_eyes,swelled_lymph_nodes,prominent_veins_on_calf,receiving_unsterile_injections,blurred_and_distorted_vision,,,
Fungal infection,neck_pain,joint_pain,fast_heart_rate,enlarged_thyroid,,,,
Hepatitis B,mood_swings,patches_in_throat,lethargy,dark_urine,blister,,,
Malaria,mild_fever,receiving_unsterile_injections,belly_pain,abnormal_menstruation,cold_hands_and_feets,,,
Hepatitis E,chills,cold_hands_and_feets,weakness_in_limbs,pain_during_bowel_movements,loss_of_smell,,,
Common Cold,congestion,rusty_sputum,nausea,neck_pain,high_fever,silver_like_dusting,blurred_and_distorted_vision,
Migraine,family_history,pain_during_bowel_movements,swelling_joints,acidity,,,,
AIDS,mood_swings,yellowish_skin,depression,slurred_speech,red_spots_over_body,lethargy,phlegm,
Bronchial Asthma,weight_loss,runny_nose,muscle_pain,swollen_blood_vessels,internal_itching,,,
Common Cold,congestion,high_fever,blurred_and_distorted_vision,silver_like_dusting,rusty_sputum,nausea,neck_pain,
Chicken pox,nodal_skin_eruptions,swollen_blood_vessels,dehydration,bladder_discomfort,cramps,slurred_speech,indigestion,scurring
Varicose veins,sunken_eyes,dizziness,restlessness,blood_in_sputum,blackheads,burning_micturition,,
Chicken pox,indigestion,scurring,cramps,dehydration,slurred_speech,swollen_blood_vessels,nodal_skin_eruptions,bladder_discomfort
Common Cold,neck_pain,high_fever,blurred_and_distorted_vision,nausea,rusty_sputum,silver_like_dusting,congestion,
Typhoid,throat_irritation,diarrhoea,red_sore_around_nose,yellow_urine,itching,shivering,altered_sensorium,spinning_movements
Peptic ulcer disease,toxic_look_(typhos),continuous_feel_of_urine,swollen_legs,vomiting,,,,
Heart attack,blurred_and_distorted_vision,receiving_unsterile_injections,pain_behind_the_eyes,swelled_lymph_nodes,prominent_veins_on_calf,,,
Common Cold,nausea,silver_like_dusting,congestion,neck_pain,high_fever,rusty_sputum,blurred_and_distorted_vision,
Hypertension,acute_liver_failure,weakness_in_limbs,blackheads,belly_pain,loss_of_balance,yellow_urine,neck_pain,puffy_face_and_eyes
Urinary tract infection,swelling_joints,sunken_eyes,weight_loss,swollen_legs,nodal_skin_eruptions,pus_filled_pimples,congestion,
Common Cold,neck_pain,rusty_sputum,silver_like_dusting,blurred_and_distorted_vision,congestion,high_fever,nausea,
Chicken pox,bladder_discomfort,nodal_skin_eruptions,swollen_blood_vessels,scurring,indigestion,dehydration,slurred_speech,cramps
Varicose veins,restlessness,blood_in_sputum,dizziness,burning_micturition,blackheads,sunken_eyes,,
AIDS,slurred_speech,phlegm,mood_swings,yellowish_skin,red_spots_over_body,depression,lethargy,
Hepatitis A,irritation_in_anus,weight_gain,depression,muscle_weakness,,,,
Dimorphic hemmorhoids(piles),mucoid_sputum,anxiety,fatigue,loss_of_smell,dizziness,sunken_eyes,sweating,
Hepatitis D,redness_of_eyes,stiff_neck,history_of_alcohol_consumption,family_history,dizziness,altered_sensorium,headache,palpitations
Gastroenteritis,belly_pain,irritability,painful_walking,brittle_nails,,,,
Impetigo,history_of_alcohol_consumption,hip_joint_pain,nodal_skin_eruptions,knee_pain,breathlessness,,,
Hepatitis D,headache,family_history,palpitations,altered_sensorium,redness_of_eyes,stiff_neck,history_of_alcohol_consumption,dizziness
Common Cold,blurred_and_distorted_vision,rusty_sputum,neck_pain,congestion,high_fever,nausea,silver_like_dusting,
Hepatitis D,palpitations,family_history,stiff_neck,headache,redness_of_eyes,dizziness,altered_sensorium,history_of_alcohol_consumption
Fungal infection,neck_pain,joint_pain,enlarged_thyroid,fast_heart_rate,,,,
Fungal infection,fast_heart_rate,enlarged_thyroid,joint_pain,neck_pain,,,,
Arthritis,weight_gain,small_dents_in_nails,malaise,mucoid_sputum,mood_swings,mild_fever,lethargy,bloody_stool
Chicken pox,scurring,dehydration,swollen_blood_vessels,nodal_skin_eruptions,slurred_speech,bladder_discomfort,indigestion,cramps
Common Cold,silver_like_dusting,blurred_and_distorted_vision,neck_pain,rusty_sputum,high_fever,congestion,nausea,
Impetigo,history_of_alcohol_consumption,nodal_skin_eruptions,hip_joint_pain,breathlessness,knee_pain,,,
Cervical spondylosis,extra_marital_contacts,pus_filled_pimples,polyuria,congestion,cold_hands_and_feets,swelling_joints,,
Migraine,family_history,swelling_joints,acidity,pain_during_bowel_movements,,,,
Gastroenteritis,brittle_nails,belly_pain,painful_walking,irritability,,,,
Jaundice,yellow_crust_ooze,cough,burning_micturition,dehydration,pain_behind_the_eyes,weakness_in_limbs,,
Hepatitis C,silver_like_dusting,congestion,yellowing_of_eyes,swollen_legs,receiving_unsterile_injections,,,
Heart attack,prominent_veins_on_calf,receiving_unsterile_injections,swelled_lymph_nodes,pain_behind_the_eyes,blurred_and_distorted_vision,,,
Chronic cholestasis,weakness_in_limbs,prominent_veins_on_calf,bladder_discomfort,mild_fever,receiving_blood_transfusion,brittle_nails,receiving_unsterile_injections,skin_rash
Chicken pox,swollen_blood_vessels,nodal_skin_eruptions,indigestion,cramps,bladder_discomfort,scurring,slurred_speech,dehydration
Malaria,cold_hands_and_feets,belly_pain,abnormal_menstruation,receiving_unsterile_injections,mild_fever,,,
Hypoglycemia,receiving_unsterile_injections,diarrhoea,slurred_speech,blurred_and_distorted_vision,blister,chest_pain,,
Hepatitis B,dark_urine,mood_swings,blister,lethargy,patches_in_throat,,,
Chicken pox,swollen_blood_vessels,indigestion,scurring,dehydration,cramps,nodal_skin_eruptions,bladder_discomfort,slurred_speech
Diabetes,pain_during_bowel_movements,pain_in_anal_region,lethargy,drying_and_tingling_lips,,,,
Hepatitis B,blister,dark_urine,mood_swings,patches_in_throat,lethargy,,,
Tuberculosis,brittle_nails,bloody_stool,unsteadiness,weight_loss,,,,
Acne,nausea,irritation_in_anus,swelling_joints,sinus_pressure,obesity,swollen_legs,polyuria,knee_pain
Hypertension,neck_pain,weakness_in_limbs,blackheads,yellow_urine,belly_pain,puffy_face_and_eyes,acute_liver_failure,loss_of_balance
Chronic cholestasis,prominent_veins_on_calf,receiving_unsterile_injections,brittle_nails,receiving_blood_transfusion,skin_rash,weakness_in_limbs,bladder_discomfort,mild_fever
Jaundice,cough,weakness_in_limbs,pain_behind_the_eyes,dehydration,burning_micturition,yellow_crust_ooze,,
Allergy,irregular_sugar_level,breathlessness,stomach_pain,receiving_unsterile_injections,acidity,,,
Chicken pox,slurred_speech,cramps,swollen_blood_vessels,nodal_skin_eruptions,dehydration,bladder_discomfort,indigestion,scurring
Cervical spondylosis,cold_hands_and_feets,extra_marital_contacts,pus_filled_pimples,swelling_joints,congestion,polyuria,,
Dengue,swollen_legs,itching,mild_fever,painful_walking,sweating,swelling_of_stomach,knee_pain,
Dimorphic hemmorhoids(piles),mucoid_sputum,fatigue,sunken_eyes,sweating,loss_of_smell,dizziness,anxiety,
Impetigo,hip_joint_pain,history_of_alcohol_consumption,nodal_skin_eruptions,knee_pain,breathlessness,,,
Allergy,irregular_sugar_level,breathlessness,acidity,receiving_unsterile_injections,stomach_pain,,,
Hepatitis B,blister,patches_in_throat,dark_urine,mood_swings,lethargy,,,
Arthritis,small_dents_in_nails,mild_fever,bloody_stool,lethargy,mood_swings,mucoid_sputum,malaise,weight_gain
Diabetes,drying_and_tingling_lips,pain_in_anal_region,lethargy,pain_during_bowel_movements,,,,
GERD,throat_irritation,joint_pain,chest_pain,pain_in_anal_region,,,,
Cervical spondylosis,polyuria,swelling_joints,pus_filled_pimples,congestion,extra_marital_contacts,cold_hands_and_feets,,
Vertigo,dizziness,muscle_wasting,lethargy,receiving_blood_transfusion,,,,
Hypoglycemia,blurred_and_distorted_vision,blister,receiving_unsterile_injections,diarrhoea,chest_pain,slurred_speech,,
Jaundice,yellow_crust_ooze,pain_behind_the_eyes,cough,dehydration,weakness_in_limbs,burning_micturition,,
Peptic ulcer disease,continuous_feel_of_urine,toxic_look_(typhos),swollen_legs,vomiting,,,,
Hepatitis E,chills,cold_hands_and_feets,loss_of_smell,pain_during_bowel_movements,weakness_in_limbs,,,
Psoriasis,mood_swings,muscle_pain,swollen_extremeties,passage_of_gases,neck_pain,,,
Hepatitis A,muscle_weakness,irritation_in_anus,weight_gain,depression,,,,
AIDS,mood_swings,lethargy,yellowish_skin,slurred_speech,depression,red_spots_over_body,phlegm,
Hypoglycemia,receiving_unsterile_injections,blurred_and_distorted_vision,diarrhoea,slurred_speech,blister,chest_pain,,
AIDS,yellowish_skin,red_spots_over_body,slurred_speech,lethargy,depression,phlegm,mood_swings,
Pneumonia,internal_itching,receiving_unsterile_injections,lack_of_concentration,stomach_bleeding,,,,
Arthritis,small_dents_in_nails,mood_swings,mucoid_sputum,lethargy,mild_fever,weight_gain,malaise,bloody_stool
Arthritis,small_dents_in_nails,mild_fever,mucoid_sputum,malaise,lethargy,weight_gain,bloody_stool,mood_swings
Urinary tract infection,swelling_joints,nodal_skin_eruptions,pus_filled_pimples,swollen_legs,congestion,sunken_eyes,weight_loss,
Hepatitis E,chills,cold_hands_and_feets,loss_of_smell,weakness_in_limbs,pain_during_bowel_movements,,,
GERD,pain_in_anal_region,chest_pain,throat_irritation,joint_pain,,,,
Hypoglycemia,slurred_speech,blurred_and_distorted_vision,chest_pain,receiving_unsterile_injections,diarrhoea,blister,,
Paralysis (brain hemorrhage),coma,pain_behind_the_eyes,family_history,swollen_legs,dizziness,,,
Arthritis,mild_fever,malaise,mood_swings,mucoid_sputum,lethargy,bloody_stool,small_dents_in_nails,weight_gain
Chicken pox,indigestion,scurring,dehydration,nodal_skin_eruptions,slurred_speech,cramps,swollen_blood_vessels,bladder_discomfort
Vertigo,muscle_wasting,dizziness,lethargy,receiving_blood_transfusion,,,,
Drug Reaction,cough,chest_pain,diarrhoea,breathlessness,loss_of_smell,belly_pain,,
Vertigo,receiving_blood_transfusion,muscle_wasting,lethargy,dizziness,,,,
GERD,pain_in_anal_region,joint_pain,chest_pain,throat_irritation,,,,
Hepatitis C,congestion,silver_like_dusting,yellowing_of_eyes,receiving_unsterile_injections,swollen_legs,,,
Jaundice,cough,pain_behind_the_eyes,yellow_crust_ooze,weakness_in_limbs,burning_micturition,dehydration,,
Chronic cholestasis,receiving_unsterile_injections,mild_fever,brittle_nails,weakness_in_limbs,prominent_veins_on_calf,receiving_blood_transfusion,bladder_discomfort,skin_rash
Bronchial Asthma,runny_nose,weight_loss,internal_itching,swollen_blood_vessels,muscle_pain,,,
Jaundice,pain_behind_the_eyes,burning_micturition,weakness_in_limbs,dehydration,yellow_crust_ooze,cough,,
Hepatitis C,yellowing_of_eyes,congestion,swollen_legs,receiving_unsterile_injections,silver_like_dusting,,,
Arthritis,mild_fever,mood_swings,mucoid_sputum,malaise,lethargy,small_dents_in_nails,weight_gain,bloody_stool
Gastroenteritis,brittle_nails,belly_pain,painful_walking,irritability,,,,
Hypothyroidism,yellowing_of_eyes,bloody_stool,continuous_sneezing,congestion,cough,rusty_sputum,blister,inflammatory_nails
Dengue,swelling_of_stomach,painful_walking,sweating,mild_fever,itching,swollen_legs,knee_pain,
Pneumonia,lack_of_concentration,stomach_bleeding,internal_itching,receiving_unsterile_injections,,,,
Hepatitis B,dark_urine,mood_swings,patches_in_throat,lethargy,blister,,,
Hepatitis D,palpitations,family_history,headache,redness_of_eyes,altered_sensorium,stiff_neck,history_of_alcohol_consumption,dizziness
Hepatitis E,weakness_in_limbs,chills,pain_during_bowel_movements,cold_hands_and_feets,loss_of_smell,,,
Malaria,cold_hands_and_feets,mild_fever,abnormal_menstruation,receiving_unsterile_injections,belly_pain,,,
Hepatitis C,congestion,receiving_unsterile_injections,yellowing_of_eyes,swollen_legs,silver_like_dusting,,,
Allergy,acidity,breathlessness,stomach_pain,irregular_sugar_level,receiving_unsterile_injections,,,
Paralysis (brain hemorrhage),swollen_legs,pain_behind_the_eyes,coma,dizziness,family_history,,,
Psoriasis,neck_pain,muscle_pain,swollen_extremeties,passage_of_gases,mood_swings,,,
Chicken pox,indigestion,swollen_blood_vessels,dehydration,bladder_discomfort,cramps,slurred_speech,scurring,nodal_skin_eruptions
Fungal infection,fast_heart_rate,neck_pain,enlarged_thyroid,joint_pain,,,,
Hepatitis E,pain_during_bowel_movements,chills,loss_of_smell,weakness_in_limbs,cold_hands_and_feets,,,
Jaundice,dehydration,yellow_crust_ooze,pain_behind_the_eyes,weakness_in_limbs,burning_micturition,cough,,
Urinary tract infection,congestion,pus_filled_pimples,nodal_skin_eruptions,swollen_legs,weight_loss,swelling_joints,sunken_eyes,
Arthritis,bloody_stool,lethargy,mood_swings,weight_gain,malaise,mild_fever,mucoid_sputum,small_dents_in_nails
Tuberculosis,bloody_stool,brittle_nails,unsteadiness,weight_loss,,,,
Hepatitis D,altered_sensorium,history_of_alcohol_consumption,redness_of_eyes,headache,stiff_neck,family_history,dizziness,palpitations
Alcoholic hepatitis,mood_swings,anxiety,pain_during_bowel_movements,weight_loss,,,,
Jaundice,dehydration,weakness_in_limbs,burning_micturition,cough,yellow_crust_ooze,pain_behind_the_eyes,,
Peptic ulcer disease,continuous_feel_of_urine,toxic_look_(typhos),swollen_legs,vomiting,,,,
Common Cold,congestion,silver_like_dusting,blurred_and_distorted_vision,neck_pain,high_fever,rusty_sputum,nausea,
Dimorphic hemmorhoids(piles),mucoid_sputum,fatigue,anxiety,dizziness,sweating,sunken_eyes,loss_of_smell,
Gastroenteritis,brittle_nails,belly_pain,irritability,painful_walking,,,,
Pneumonia,lack_of_concentration,stomach_bleeding,receiving_unsterile_injections,internal_itching,,,,
Hepatitis B,blister,patches_in_throat,mood_swings,dark_urine,lethargy,,,
Bronchial Asthma,weight_loss,swollen_blood_vessels,internal_itching,runny_nose,muscle_pain,,,
Hepatitis A,depression,muscle_weakness,irritation_in_anus,weight_gain,,,,
Bronchial Asthma,weight_loss,runny_nose,swollen_blood_vessels,muscle_pain,internal_itching,,,
Allergy,irregular_sugar_level,breathlessness,acidity,receiving_unsterile_injections,stomach_pain,,,
Urinary tract infection,pus_filled_pimples,congestion,sunken_eyes,nodal_skin_eruptions,swelling_joints,swollen_legs,weight_loss,
Gastroenteritis,belly_pain,brittle_nails,painful_walking,irritability,,,,
Migraine,pain_during_bowel_movements,swelling_joints,acidity,family_history,,,,
Gastroenteritis,irritability,painful_walking,belly_pain,brittle_nails,,,,
GERD,joint_pain,pain_in_anal_region,chest_pain,throat_irritation,,,,
Common Cold,neck_pain,silver_like_dusting,congestion,rusty_sputum,high_fever,blurred_and_distorted_vision,nausea,
Dimorphic hemmorhoids(piles),sweating,fatigue,sunken_eyes,anxiety,mucoid_sputum,loss_of_smell,dizziness,
Pneumonia,receiving_unsterile_injections,internal_itching,stomach_bleeding,lack_of_concentration,,,,
Hepatitis B,patches_in_throat,dark_urine,blister,lethargy,mood_swings,,,
Dimorphic hemmorhoids(piles),loss_of_smell,sweating,anxiety,dizziness,sunken_eyes,fatigue,mucoid_sputum,
Arthritis,mucoid_sputum,weight_gain,lethargy,mild_fever,small_dents_in_nails,mood_swings,malaise,bloody_stool
Tuberculosis,unsteadiness,brittle_nails,weight_loss,bloody_stool,,,,
Hypertension,puffy_face_and_eyes,loss_of_balance,blackheads,neck_pain,acute_liver_failure,belly_pain,yellow_urine,weakness_in_limbs
Peptic ulcer disease,continuous_feel_of_urine,swollen_legs,vomiting,toxic_look_(typhos),,,,
Tuberculosis,unsteadiness,bloody_stool,weight_loss,brittle_nails,,,,
Allergy,stomach_pain,breathlessness,receiving_unsterile_injections,acidity,irregular_sugar_level,,,
Heart attack,receiving_unsterile_injections,swelled_lymph_nodes,prominent_veins_on_calf,pain_behind_the_eyes,blurred_and_distorted_vision,,,
Diabetes,lethargy,drying_and_tingling_lips,pain_in_anal_region,pain_during_bowel_movements,,,,
Impetigo,knee_pain,hip_joint_pain,breathlessness,history_of_alcohol_consumption,nodal_skin_eruptions,,,
Hyperthyroidism,swollen_legs,belly_pain,anxiety,painful_walking,itching,yellowing_of_eyes,watering_from_eyes,
Hepatitis C,receiving_unsterile_injections,swollen_legs,silver_like_dusting,yellowing_of_eyes,congestion,,,
Migraine,family_history,swelling_joints,acidity,pain_during_bowel_movements,,,,
Hepatitis A,irritation_in_anus,depression,muscle_weakness,weight_gain,,,,
Diabetes,pain_in_anal_region,lethargy,pain_during_bowel_movements,drying_and_tingling_lips,,,,
Psoriasis,muscle_pain,swollen_extremeties,mood_swings,passage_of_gases,neck_pain,,,
Hypothyroidism,congestion,blister,bloody_stool,inflammatory_nails,cough,yellowing_of_eyes,rusty_sputum,continuous_sneezing
Heart attack,prominent_veins_on_calf,pain_behind_the_eyes,blurred_and_distorted_vision,swelled_lymph_nodes,receiving_unsterile_injections,,,
Malaria,receiving_unsterile_injections,mild_fever,abnormal_menstruation,cold_hands_and_feets,belly_pain,,,
Chronic cholestasis,receiving_unsterile_injections,skin_rash,brittle_nails,mild_fever,bladder_discomfort,receiving_blood_transfusion,weakness_in_limbs,prominent_veins_on_calf
Vertigo,receiving_blood_transfusion,dizziness,muscle_wasting,lethargy,,,,
Chronic cholestasis,skin_rash,receiving_blood_transfusion,receiving_unsterile_injections,prominent_veins_on_calf,mild_fever,bladder_discomfort,brittle_nails,weakness_in_limbs
Heart attack,prominent_veins_on_calf,receiving_unsterile_injections,blurred_and_distorted_vision,pain_behind_the_eyes,swelled_lymph_nodes,,,
Hepatitis A,depression,weight_gain,muscle_weakness,irritation_in_anus,,,,
Drug Reaction,belly_pain,loss_of_smell,chest_pain,diarrhoea,cough,breathlessness,,
Gastroenteritis,irritability,brittle_nails,painful_walking,belly_pain,,,,
Hepatitis C,yellowing_of_eyes,silver_like_dusting,swollen_legs,receiving_unsterile_injections,congestion,,,
Paralysis (brain hemorrhage),pain_behind_the_eyes,dizziness,coma,swollen_legs,family_history,,,
Varicose veins,blackheads,blood_in_sputum,dizziness,restlessness,sunken_eyes,burning_micturition,,
Chicken pox,scurring,dehydration,nodal_skin_eruptions,indigestion,slurred_speech,swollen_blood_vessels,cramps,bladder_discomfort
Hypothyroidism,yellowing_of_eyes,inflammatory_nails,continuous_sneezing,blister,congestion,cough,rusty_sputum,bloody_stool
Allergy,irregular_sugar_level,stomach_pain,receiving_unsterile_injections,breathlessness,acidity,,,
Psoriasis,neck_pain,mood_swings,passage_of_gases,swollen_extremeties,muscle_pain,,,
Hepatitis D,dizziness,headache,history_of_alcohol_consumption,family_history,stiff_neck,palpitations,redness_of_eyes,altered_sensorium
Hepatitis A,depression,muscle_weakness,weight_gain,irritation_in_anus,,,,
Fungal infection,fast_heart_rate,enlarged_thyroid,neck_pain,joint_pain,,,,
Hepatitis C,yellowing_of_eyes,swollen_legs,congestion,silver_like_dusting,receiving_unsterile_injections,,,
Hepatitis C,congestion,silver_like_dusting,yellowing_of_eyes,receiving_unsterile_injections,swollen_legs,,,
Gastroenteritis,painful_walking,brittle_nails,belly_pain,irritability,,,,
Osteoarthristis,anxiety,burning_micturition,swelling_joints,weight_gain,,,,
Chronic cholestasis,receiving_unsterile_injections,weakness_in_limbs,brittle_nails,receiving_blood_transfusion,prominent_veins_on_calf,mild_fever,bladder_discomfort,skin_rash
Hepatitis D,altered_sensorium,history_of_alcohol_consumption,headache,palpitations,redness_of_eyes,family_history,dizziness,stiff_neck
Vertigo,muscle_wasting,lethargy,dizziness,receiving_blood_transfusion,,,,
Hepatitis A,muscle_weakness,depression,weight_gain,irritation_in_anus,,,,
Dengue,sweating,itching,swelling_of_stomach,painful_walking,knee_pain,mild_fever,swollen_legs,
Hepatitis A,depression,weight_gain,irritation_in_anus,muscle_weakness,,,,
Migraine,swelling_joints,family_history,acidity,pain_during_bowel_movements,,,,
Cervical spondylosis,swelling_joints,polyuria,congestion,pus_filled_pimples,extra_marital_contacts,cold_hands_and_feets,,
Cervical spondylosis,polyuria,cold_hands_and_feets,congestion,pus_filled_pimples,extra_marital_contacts,swelling_joints,,
AIDS,slurred_speech,yellowish_skin,lethargy,phlegm,red_spots_over_body,depression,mood_swings,
Heart attack,pain_behind_the_eyes,prominent_veins_on_calf,swelled_lymph_nodes,blurred_and_distorted_vision,receiving_unsterile_injections,,,
GERD,throat_irritation,joint_pain,pain_in_anal_region,chest_pain,,,,
GERD,throat_irritation,pain_in_anal_region,joint_pain,chest_pain,,,,
Allergy,irregular_sugar_level,breathlessness,acidity,receiving_unsterile_injections,stomach_pain,,,
Hepatitis B,lethargy,blister,mood_swings,dark_urine,patches_in_throat,,,
Osteoarthristis,burning_micturition,anxiety,swelling_joints,weight_gain,,,,
Dengue,sweating,swelling_of_stomach,swollen_legs,mild_fever,itching,knee_pain,painful_walking,
Paralysis (brain hemorrhage),swollen_legs,pain_behind_the_eyes,coma,dizziness,family_history,,,
Dengue,swollen_legs,swelling_of_stomach,mild_fever,knee_pain,itching,sweating,painful_walking,
Hepatitis A,depression,muscle_weakness,weight_gain,irritation_in_anus,,,,
Chronic cholestasis,bladder_discomfort,mild_fever,weakness_in_limbs,skin_rash,receiving_unsterile_injections,brittle_nails,receiving_blood_transfusion,prominent_veins_on_calf
Peptic ulcer disease,swollen_legs,toxic_look_(typhos),continuous_feel_of_urine,vomiting,,,,
Urinary tract infection,swelling_joints,swollen_legs,weight_loss,nodal_skin_eruptions,pus_filled_pimples,congestion,sunken_eyes,
Cervical spondylosis,swelling_joints,extra_marital_contacts,congestion,cold_hands_and_feets,polyuria,pus_filled_pimples,,
Peptic ulcer disease,swollen_legs,continuous_feel_of_urine,toxic_look_(typhos),vomiting,,,,
Hepatitis A,irritation_in_anus,depression,muscle_weakness,weight_gain,,,,
Jaundice,weakness_in_limbs,cough,dehydration,yellow_crust_ooze,burning_micturition,pain_behind_the_eyes,,
Migraine,pain_during_bowel_movements,family_history,acidity,swelling_joints,,,,
Hypothyroidism,rusty_sputum,blister,cough,bloody_stool,inflammatory_nails,yellowing_of_eyes,congestion,continuous_sneezing
Hypertension,blackheads,acute_liver_failure,puffy_face_and_eyes,neck_pain,loss_of_balance,yellow_urine,weakness_in_limbs,belly_pain
Tuberculosis,bloody_stool,brittle_nails,weight_loss,unsteadiness,,,,
Hepatitis A,depression,irritation_in_anus,muscle_weakness,weight_gain,,,,
Malaria,abnormal_menstruation,mild_fever,cold_hands_and_feets,receiving_unsterile_injections,belly_pain,,,
Varicose veins,burning_micturition,dizziness,sunken_eyes,restlessness,blackheads,blood_in_sputum,,
Pneumonia,internal_itching,stomach_bleeding,lack_of_concentration,receiving_unsterile_injections,,,,
Migraine,family_history,acidity,swelling_joints,pain_during_bowel_movements,,,,
Diabetes,lethargy,pain_during_bowel_movements,drying_and_tingling_lips,pain_in_anal_region,,,,
Dimorphic hemmorhoids(piles),dizziness,loss_of_smell,sweating,fatigue,mucoid_sputum,anxiety,sunken_eyes,
Urinary tract infection,weight_loss,swelling_joints,sunken_eyes,congestion,nodal_skin_eruptions,pus_filled_pimples,swollen_legs,
Peptic ulcer disease,vomiting,swollen_legs,toxic_look_(typhos),continuous_feel_of_urine,,,,
Bronchial Asthma,muscle_pain,weight_loss,runny_nose,swollen_blood_vessels,internal_itching,,,
Alcoholic hepatitis,anxiety,pain_during_bowel_movements,weight_loss,mood_swings,,,,
Hepatitis B,lethargy,mood_swings,patches_in_throat,dark_urine,blister,,,
Peptic ulcer disease,vomiting,continuous_feel_of_urine,swollen_legs,toxic_look_(typhos),,,,
Gastroenteritis,irritability,brittle_nails,belly_pain,painful_walking,,,,
Arthritis,lethargy,mild_fever,bloody_stool,weight_gain,malaise,mood_swings,mucoid_sputum,small_dents_in_nails
Allergy,breathlessness,stomach_pain,receiving_unsterile_injections,acidity,irregular_sugar_level,,,
Impetigo,history_of_alcohol_consumption,breathlessness,hip_joint_pain,knee_pain,nodal_skin_eruptions,,,
Pneumonia,lack_of_concentration,stomach_bleeding,receiving_unsterile_injections,internal_itching,,,,
Varicose veins,blackheads,restlessness,sunken_eyes,blood_in_sputum,burning_micturition,dizziness,,
Bronchial Asthma,swollen_blood_vessels,weight_loss,muscle_pain,internal_itching,runny_nose,,,
Drug Reaction,cough,breathlessness,loss_of_smell,chest_pain,diarrhoea,belly_pain,,
Pneumonia,lack_of_concentration,receiving_unsterile_injections,stomach_bleeding,internal_itching,,,,
Common Cold,nausea,congestion,silver_like_dusting,blurred_and_distorted_vision,rusty_sputum,neck_pain,high_fever,
Heart attack,blurred_and_distorted_vision,prominent_veins_on_calf,pain_behind_the_eyes,receiving_unsterile_injections,swelled_lymph_nodes,,,
Alcoholic hepatitis,anxiety,mood_swings,weight_loss,pain_during_bowel_movements,,,,
Pneumonia,lack_of_concentration,internal_itching,receiving_unsterile_injections,stomach_bleeding,,,,
Malaria,mild_fever,abnormal_menstruation,receiving_unsterile_injections,cold_hands_and_feets,belly_pain,,,
GERD,throat_irritation,pain_in_anal_region,joint_pain,chest_pain,,,,
Hepatitis E,loss_of_smell,weakness_in_limbs,chills,pain_during_bowel_movements,cold_hands_and_feets,,,
Bronchial Asthma,swollen_blood_vessels,muscle_pain,internal_itching,runny_nose,weight_loss,,,
Hypoglycemia,diarrhoea,chest_pain,blurred_and_distorted_vision,blister,receiving_unsterile_injections,slurred_speech,,
Impetigo,hip_joint_pain,history_of_alcohol_consumption,knee_pain,nodal_skin_eruptions,breathlessness,,,
Hepatitis C,receiving_unsterile_injections,swollen_legs,yellowing_of_eyes,silver_like_dusting,congestion,,,
Hyperthyroidism,anxiety,swollen_legs,yellowing_of_eyes,painful_walking,belly_pain,watering_from_eyes,itching,
Typhoid,red_sore_around_nose,diarrhoea,yellow_urine,shivering,itching,spinning_movements,throat_irritation,altered_sensorium
Chronic cholestasis,brittle_nails,mild_fever,prominent_veins_on_calf,receiving_blood_transfusion,receiving_unsterile_injections,weakness_in_limbs,skin_rash,bladder_discomfort
Psoriasis,muscle_pain,swollen_extremeties,mood_swings,neck_pain,passage_of_gases,,,
Gastroenteritis,irritability,painful_walking,brittle_nails,belly_pain,,,,
Gastroenteritis,belly_pain,irritability,brittle_nails,painful_walking,,,,
Fungal infection,enlarged_thyroid,fast_heart_rate,neck_pain,joint_pain,,,,
Acne,swollen_legs,swelling_joints,nausea,obesity,knee_pain,irritation_in_anus,polyuria,sinus_pressure
Hypothyroidism,cough,yellowing_of_eyes,blister,congestion,continuous_sneezing,rusty_sputum,inflammatory_nails,bloody_stool
Urinary tract infection,nodal_skin_eruptions,swelling_joints,congestion,sunken_eyes,pus_filled_pimples,weight_loss,swollen_legs,
Dimorphic hemmorhoids(piles),fatigue,mucoid_sputum,anxiety,loss_of_smell,sunken_eyes,dizziness,sweating,
